Point,Lat,Lon,Weight
145828,21.359261,-158.015869,0.002
145829,21.376411,-158.015411,0.0023
145830,21.39357,-158.014954,0.0042
145831,21.410728,-158.014496,0.0042
145832,21.427895,-158.014038,0.0047
145833,21.445061,-158.01358,0.0046
145834,21.462219,-158.013123,0.0047
145835,21.479385,-158.012665,0.0047
145836,21.496544,-158.012207,0.0048
145837,21.513733,-158.011749,0.0044
145838,21.530891,-158.011291,0.0048
145839,21.548073,-158.010834,0.0045
145840,21.565262,-158.010376,0.0031
145841,21.582413,-158.009918,0.0021
145842,21.599602,-158.00946,0.004
145843,21.616791,-158.009003,0.0034
145844,21.63398,-158.008545,0.0025
145845,21.651161,-158.008072,0.0024
145846,21.668343,-158.007614,0.0032
145847,21.685539,-158.007156,0.003
145848,21.702736,-158.006699,0.0003
146342,21.307381,-157.998825,0.0011
146343,21.324532,-157.998367,0.0047
146344,21.341682,-157.997909,0.0046
146345,21.358826,-157.997452,0.0023
146346,21.375992,-157.996994,0.0034
146347,21.393143,-157.996521,0.0043
146348,21.410309,-157.996063,0.0047
146349,21.42746,-157.995606,0.0047
146350,21.444633,-157.995148,0.0043
146351,21.4618,-157.994675,0.0044
146352,21.47895,-157.994217,0.0047
146353,21.496124,-157.993759,0.0048
146354,21.51329,-157.993301,0.0038
146355,21.530464,-157.992828,0.004
146356,21.547653,-157.992371,0.0035
146357,21.564819,-157.991913,0.0021
146358,21.582001,-157.99144,0.002
146359,21.599175,-157.990982,0.003
146360,21.616364,-157.990509,0.0014
146361,21.633553,-157.990051,0.002
146362,21.650734,-157.989594,0.0013
146363,21.667923,-157.989121,0.0031
146364,21.685112,-157.988663,0.0043
146365,21.702301,-157.98819,0.0013
146858,21.306938,-157.980423,0.0001
146859,21.324097,-157.979965,0.0038
146860,21.341248,-157.979492,0.0033
146861,21.358398,-157.979034,0.0032
146862,21.375557,-157.978561,0.0011
146863,21.392708,-157.978104,0.0031
146864,21.409866,-157.977631,0.0039
146865,21.427032,-157.977173,0.0045
146866,21.444199,-157.9767,0.0047
146867,21.461365,-157.976242,0.0035
146868,21.478539,-157.975769,0.0042
146869,21.495689,-157.975311,0.0035
146870,21.512863,-157.974838,0.0012
146871,21.530045,-157.974365,0.0014
146872,21.547211,-157.973907,0.0021
146873,21.564384,-157.973434,0.0026
146874,21.581566,-157.972961,0.0019
146875,21.598747,-157.972504,0.0015
146876,21.615929,-157.972031,0.0014
146877,21.633118,-157.971558,0.0005
146878,21.650284,-157.9711,0.0024
146879,21.667496,-157.970627,0.0036
146880,21.684669,-157.970154,0.0038
146881,21.701866,-157.969681,0.0001
147376,21.323654,-157.961548,0.0017
147377,21.340813,-157.961075,0.0038
147378,21.357956,-157.960617,0.0023
147379,21.375122,-157.960144,0.0008
147380,21.392273,-157.959671,0.0038
147381,21.409431,-157.959198,0.0046
147382,21.42659,-157.95874,0.0028
147383,21.443756,-157.958267,0.0033
147384,21.460922,-157.957794,0.0022
147385,21.478088,-157.957321,0.001
147386,21.495255,-157.956848,0.0004
147388,21.529594,-157.955902,0.0012
147389,21.546776,-157.955444,0.0022
147390,21.56395,-157.954971,0.0023
147391,21.581123,-157.954498,0.0008
147392,21.598312,-157.954025,0.0005
147393,21.615486,-157.953552,0.0007
147394,21.632668,-157.953079,0.002
147395,21.649857,-157.952606,0.0037
147396,21.667046,-157.952133,0.0036
147397,21.684242,-157.95166,0.001
147892,21.306076,-157.943619,0.0008
147893,21.323227,-157.943146,0.0041
147894,21.34037,-157.942673,0.0047
147895,21.357521,-157.9422,0.0028
147896,21.374672,-157.941727,0.0017
147897,21.391823,-157.941238,0.0041
147898,21.408997,-157.940765,0.0043
147899,21.426155,-157.940292,0.0022
147900,21.443321,-157.939819,0.0009
147905,21.529152,-157.937454,0.0009
147906,21.546333,-157.936966,0.002
147907,21.563515,-157.936493,0.001
147908,21.580681,-157.93602,0.0002
147909,21.597862,-157.935547,0.0002
147910,21.615044,-157.935074,0.0006
147911,21.632225,-157.934586,0.0028
147912,21.649414,-157.934112,0.0035
147913,21.666603,-157.933639,0.0013
147914,21.6838,-157.933151,0.0001
148410,21.305626,-157.925201,0.0012
148411,21.322769,-157.924728,0.0045
148412,21.339935,-157.924255,0.0047
148413,21.357086,-157.923767,0.0047
148414,21.374237,-157.923294,0.0046
148415,21.391403,-157.922821,0.0032
148416,21.408554,-157.922348,0.0018
148417,21.425713,-157.92186,0.0003
148423,21.528709,-157.918991,0.0002
148424,21.545891,-157.918503,0.0008
148425,21.563065,-157.91803,0.0002
148427,21.597412,-157.917068,0.0003
148428,21.614601,-157.91658,0.0014
148429,21.63179,-157.916107,0.0008
148430,21.648972,-157.915619,0.0002
148431,21.666161,-157.915146,0.0001
148927,21.305183,-157.906799,0.0003
148928,21.322327,-157.906326,0.0015
148929,21.339478,-157.905838,0.0042
148930,21.356644,-157.90535,0.0041
148931,21.373787,-157.904877,0.0033
148932,21.390945,-157.904388,0.0021
148933,21.408112,-157.903915,0.0002
148941,21.545441,-157.90004,0.0003
148942,21.562622,-157.899551,0.001
148943,21.579796,-157.899078,0.0009
148944,21.59697,-157.89859,0.0011
148945,21.614151,-157.898102,0.0001
149445,21.304733,-157.888397,0.001
149446,21.321884,-157.887909,0.0021
