Solar cfs,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,w_cfs
2006,1,9,18,0.061426
2006,1,9,19,0
2006,1,9,20,0
2006,1,9,21,0
2006,1,9,22,0
2006,1,9,23,0
2006,1,9,24,0
2006,1,10,1,0
2006,1,10,2,0
2006,1,10,3,0
2006,1,10,4,0
2006,1,10,5,0
2006,1,10,6,0
2006,1,10,7,0
2006,1,10,8,0.0272807
2006,1,10,9,0.2030244
2006,1,10,10,0.2727777
2006,1,10,11,0.3116088
2006,1,10,12,0.4759147
2006,1,10,13,0.5651017
2006,1,10,14,0.5043582
2006,1,10,15,0.4373891
2006,1,10,16,0.3692892
2006,1,10,17,0.2446711
2006,1,10,18,0.0745318
2006,1,10,19,0
2006,1,10,20,0
2006,1,10,21,0
2006,1,10,22,0
2006,1,10,23,0
2006,1,10,24,0
2006,1,11,1,0
2006,1,11,2,0
2006,1,11,3,0
2006,1,11,4,0
2006,1,11,5,0
2006,1,11,6,0
2006,1,11,7,0
2006,1,11,8,0.0209553
2006,1,11,9,0.11142
2006,1,11,10,0.1833944
2006,1,11,11,0.336546
2006,1,11,12,0.4804133
2006,1,11,13,0.5212623
2006,1,11,14,0.5212112
2006,1,11,15,0.311438
2006,1,11,16,0.2518177
2006,1,11,17,0.1644529
2006,1,11,18,0.0720421
2006,1,11,19,0
2006,1,11,20,0
2006,1,11,21,0
2006,1,11,22,0
2006,1,11,23,0
2006,1,11,24,0
2006,1,12,1,0
2006,1,12,2,0
2006,1,12,3,0
2006,1,12,4,0
2006,1,12,5,0
2006,1,12,6,0
2006,1,12,7,0
2006,1,12,8,0.0252729
2006,1,12,9,0.1742382
2006,1,12,10,0.294315
2006,1,12,11,0.4688214
2006,1,12,12,0.4031371
2006,1,12,13,0.6666551
2006,1,12,14,0.7321595
2006,1,12,15,0.5960588
2006,1,12,16,0.4182538
2006,1,12,17,0.2370184
2006,1,12,18,0.077396
2006,1,12,19,0
2006,1,12,20,0
2006,1,12,21,0
2006,1,12,22,0
2006,1,12,23,0
2006,1,12,24,0
2006,1,13,1,0
2006,1,13,2,0
2006,1,13,3,0
2006,1,13,4,0
2006,1,13,5,0
2006,1,13,6,0
2006,1,13,7,0
2006,1,13,8,0.0236166
2006,1,13,9,0.1577137
2006,1,13,10,0.2615681
2006,1,13,11,0.4088301
2006,1,13,12,0.4650425
2006,1,13,13,0.4665305
2006,1,13,14,0.4478019
2006,1,13,15,0.4136735
2006,1,13,16,0.2787004
2006,1,13,17,0.1525297
2006,1,13,18,0.0696815
2006,1,13,19,0
2006,1,13,20,0
2006,1,13,21,0
2006,1,13,22,0
2006,1,13,23,0
2006,1,13,24,0
2006,1,14,1,0
2006,1,14,2,0
2006,1,14,3,0
2006,1,14,4,0
2006,1,14,5,0
2006,1,14,6,0
2006,1,14,7,0
2006,1,14,8,0.0236667
2006,1,14,9,0.128629
2006,1,14,10,0.2385107
2006,1,14,11,0.3491276
2006,1,14,12,0.4134155
2006,1,14,13,0.3427571
2006,1,14,14,0.4653559
2006,1,14,15,0.3639237
2006,1,14,16,0.3359253
2006,1,14,17,0.1926555
2006,1,14,18,0.0770512
2006,1,14,19,0
2006,1,14,20,0
2006,1,14,21,0
2006,1,14,22,0
2006,1,14,23,0
2006,1,14,24,0
2006,1,15,1,0
2006,1,15,2,0
2006,1,15,3,0
2006,1,15,4,0
2006,1,15,5,0
2006,1,15,6,0
2006,1,15,7,0
2006,1,15,8,0.0306115
2006,1,15,9,0.2319655
2006,1,15,10,0.4451895
2006,1,15,11,0.6218359
2006,1,15,12,0.6996395
2006,1,15,13,0.7625975
2006,1,15,14,0.7442871
2006,1,15,15,0.5488557
2006,1,15,16,0.4572707
2006,1,15,17,0.3123867
2006,1,15,18,0.0990807
2006,1,15,19,0
2006,1,15,20,0
2006,1,15,21,0
2006,1,15,22,0
2006,1,15,23,0
2006,1,15,24,0
2006,1,16,1,0
2006,1,16,2,0
2006,1,16,3,0
2006,1,16,4,0
2006,1,16,5,0
2006,1,16,6,0
2006,1,16,7,0
2006,1,16,8,0.0224586
2006,1,16,9,0.1756346
2006,1,16,10,0.3590966
2006,1,16,11,0.5010977
2006,1,16,12,0.6217715
2006,1,16,13,0.6701571
2006,1,16,14,0.672001
2006,1,16,15,0.6239942
2006,1,16,16,0.4429428
2006,1,16,17,0.2655855
2006,1,16,18,0.0823214
2006,1,16,19,0
2006,1,16,20,0
2006,1,16,21,0
2006,1,16,22,0
2006,1,16,23,0
2006,1,16,24,0
2006,1,17,1,0
2006,1,17,2,0
2006,1,17,3,0
2006,1,17,4,0
2006,1,17,5,0
2006,1,17,6,0
2006,1,17,7,0
2006,1,17,8,0.024139
2006,1,17,9,0.0943023
2006,1,17,10,0.2777836
2006,1,17,11,0.3695222
2006,1,17,12,0.4991898
2006,1,17,13,0.5650733
2006,1,17,14,0.6170382
2006,1,17,15,0.6149224
2006,1,17,16,0.4664475
2006,1,17,17,0.2707098
2006,1,17,18,0.087901
2006,1,17,19,0
2006,1,17,20,0
2006,1,17,21,0
2006,1,17,22,0
2006,1,17,23,0
2006,1,17,24,0
2006,1,18,1,0
2006,1,18,2,0
2006,1,18,3,0
2006,1,18,4,0
2006,1,18,5,0
2006,1,18,6,0
2006,1,18,7,0
2006,1,18,8,0.0274606
2006,1,18,9,0.1986652
2006,1,18,10,0.3991047
2006,1,18,11,0.5266956
2006,1,18,12,0.6786848
2006,1,18,13,0.710778
2006,1,18,14,0.6977553
2006,1,18,15,0.6311701
2006,1,18,16,0.4906551
2006,1,18,17,0.2976453
2006,1,18,18,0.0906591
2006,1,18,19,0
2006,1,18,20,0
2006,1,18,21,0
2006,1,18,22,0
2006,1,18,23,0
2006,1,18,24,0
2006,1,19,1,0
2006,1,19,2,0
2006,1,19,3,0
2006,1,19,4,0
2006,1,19,5,0
2006,1,19,6,0
2006,1,19,7,0
2006,1,19,8,0.0266252
2006,1,19,9,0.1995459
2006,1,19,10,0.3550807
2006,1,19,11,0.5347841
2006,1,19,12,0.7003884
2006,1,19,13,0.7664182
2006,1,19,14,0.7498127
2006,1,19,15,0.6352879
2006,1,19,16,0.4733729
2006,1,19,17,0.2904515
2006,1,19,18,0.0926214
2006,1,19,19,0
2006,1,19,20,0
2006,1,19,21,0
2006,1,19,22,0
2006,1,19,23,0
2006,1,19,24,0
2006,1,20,1,0
2006,1,20,2,0
2006,1,20,3,0
2006,1,20,4,0
2006,1,20,5,0
2006,1,20,6,0
2006,1,20,7,0
2006,1,20,8,0.0146262
2006,1,20,9,0.1199561
2006,1,20,10,0.2679785
2006,1,20,11,0.4359772
2006,1,20,12,0.6049302
2006,1,20,13,0.6349782
2006,1,20,14,0.6588003
2006,1,20,15,0.569932
2006,1,20,16,0.4041413
2006,1,20,17,0.1758074
2006,1,20,18,0.0550716
2006,1,20,19,0
2006,1,20,20,0
2006,1,20,21,0
2006,1,20,22,0
2006,1,20,23,0
2006,1,20,24,0
2006,1,21,1,0
2006,1,21,2,0
2006,1,21,3,0
2006,1,21,4,0
2006,1,21,5,0
2006,1,21,6,0
2006,1,21,7,0
2006,1,21,8,0.0171948
2006,1,21,9,0.112658
2006,1,21,10,0.225809
2006,1,21,11,0.3800076
2006,1,21,12,0.5351532
2006,1,21,13,0.5712902
2006,1,21,14,0.6031565
2006,1,21,15,0.5592544
2006,1,21,16,0.4589631
2006,1,21,17,0.2929752
2006,1,21,18,0.0919009
2006,1,21,19,0
2006,1,21,20,0
2006,1,21,21,0
2006,1,21,22,0
2006,1,21,23,0
2006,1,21,24,0
2006,1,22,1,0
2006,1,22,2,0
2006,1,22,3,0
2006,1,22,4,0
2006,1,22,5,0
2006,1,22,6,0
2006,1,22,7,0
2006,1,22,8,0.0213853
2006,1,22,9,0.1805582
2006,1,22,10,0.3279379
2006,1,22,11,0.5208598
2006,1,22,12,0.6092919
2006,1,22,13,0.7112206
2006,1,22,14,0.678244
2006,1,22,15,0.5599111
2006,1,22,16,0.3686978
2006,1,22,17,0.1791255
2006,1,22,18,0.0572156
2006,1,22,19,0
2006,1,22,20,0
2006,1,22,21,0
2006,1,22,22,0
2006,1,22,23,0
2006,1,22,24,0
2006,1,23,1,0
2006,1,23,2,0
2006,1,23,3,0
2006,1,23,4,0
2006,1,23,5,0
2006,1,23,6,0
2006,1,23,7,0
2006,1,23,8,0.0216137
2006,1,23,9,0.1549365
2006,1,23,10,0.3344675
2006,1,23,11,0.5601838
2006,1,23,12,0.6036242
2006,1,23,13,0.6590747
2006,1,23,14,0.7161288
2006,1,23,15,0.5578503
2006,1,23,16,0.3857293
2006,1,23,17,0.2329753
2006,1,23,18,0.1042457
2006,1,23,19,0
2006,1,23,20,0
2006,1,23,21,0
2006,1,23,22,0
2006,1,23,23,0
2006,1,23,24,0
2006,1,24,1,0
2006,1,24,2,0
2006,1,24,3,0
2006,1,24,4,0
2006,1,24,5,0
2006,1,24,6,0
2006,1,24,7,0
2006,1,24,8,0.0102066
2006,1,24,9,0.1119883
2006,1,24,10,0.299715
2006,1,24,11,0.4034389
2006,1,24,12,0.4254162
2006,1,24,13,0.5319077
2006,1,24,14,0.4779169
2006,1,24,15,0.3014114
2006,1,24,16,0.2394103
2006,1,24,17,0.1752465
2006,1,24,18,0.0730642
2006,1,24,19,0
2006,1,24,20,0
2006,1,24,21,0
2006,1,24,22,0
2006,1,24,23,0
2006,1,24,24,0
2006,1,25,1,0
2006,1,25,2,0
2006,1,25,3,0
2006,1,25,4,0
2006,1,25,5,0
2006,1,25,6,0
2006,1,25,7,0
2006,1,25,8,0.0188831
2006,1,25,9,0.0921185
2006,1,25,10,0.1650672
2006,1,25,11,0.1770089
2006,1,25,12,0.2687919
2006,1,25,13,0.3576885
2006,1,25,14,0.3561593
2006,1,25,15,0.2949285
2006,1,25,16,0.3162314
2006,1,25,17,0.1990514
2006,1,25,18,0.0695702
2006,1,25,19,0
2006,1,25,20,0
2006,1,25,21,0
2006,1,25,22,0
2006,1,25,23,0
2006,1,25,24,0
2006,1,26,1,0
2006,1,26,2,0
2006,1,26,3,0
2006,1,26,4,0
2006,1,26,5,0
2006,1,26,6,0
2006,1,26,7,0
2006,1,26,8,0.0054775
2006,1,26,9,0.0541413
2006,1,26,10,0.1381473
2006,1,26,11,0.1705358
2006,1,26,12,0.1844652
2006,1,26,13,0.2410457
2006,1,26,14,0.3606962
